"@timestamp","process.executable","process.args",message,"kubernetes.namespace","kubernetes.labels.version","kubernetes.labels.app","event.type","event.dataset","event.category","event.action","process.name"
"2023-06-30 08:38:39","/sbin/tc","tc, qdisc","Process tc (PID: 47117) by user root STOPPED",default,v3,reviews,end,process,process,"process_stopped",tc
"2023-06-30 08:38:39","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/9543/ns/net, --, tc, qdisc","Process nsexec (PID: 47114) by user root STOPPED",default,v3,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:38","/sbin/tc","tc, qdisc","Process tc (PID: 47117) by user root STARTED",default,v3,reviews,start,process,process,"process_started",tc
"2023-06-30 08:38:38","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/9543/ns/net, --, tc, qdisc","Process nsexec (PID: 47114) by user root STARTED",default,v3,reviews,start,process,process,"process_started",nsexec
"2023-06-30 08:38:37","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/35407/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 47047) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:36","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/35407/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 47047) by user root STARTED",default,v1,productpage,start,process,process,"process_started",nsexec
"2023-06-30 08:38:36","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3257/ns/net, --, iptables-save, -c","Process nsexec (PID: 46597) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:36","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/35407/ns/net, --, iptables-save, -c","Process nsexec (PID: 46700) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:36","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/10298/ns/net, --, tc, qdisc","Process nsexec (PID: 46810) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/10298/ns/net, --, tc, qdisc","Process nsexec (PID: 46810) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:38:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/35407/ns/net, --, iptables-save, -c","Process nsexec (PID: 46700) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:38:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3257/ns/net, --, iptables-save, -c","Process nsexec (PID: 46597) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:38:35","/usr/sbin/xtables-legacy-multi","iptables-save, -c","ERROR for PID 46610: failed to get namespaces for /usr/sbin/xtables-legacy-multi PID 46610: stat /proc/46610/ns/mnt: no such file or directory",default,v1,details,info,process,process,"process_error","iptables-save"
"2023-06-30 08:38:35","/usr/sbin/xtables-legacy-multi","iptables-save, -c","Process iptables-save (PID: 46408) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","iptables-save"
"2023-06-30 08:38:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/10298/ns/net, --, iptables-save, -c","Process nsexec (PID: 46396) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:19","/sbin/ipset","ipset, save, -o, xml","ERROR for PID 44247: failed to get namespaces for /sbin/ipset PID 44247: stat /proc/44247/ns/mnt: no such file or directory",default,v2,reviews,info,process,process,"process_error",ipset
"2023-06-30 08:38:19","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/9298/ns/net, --, iptables-save, -c","Process nsexec (PID: 44243) by user root STARTED",default,v2,reviews,start,process,process,"process_started",nsexec
"2023-06-30 08:38:19","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/25082/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 44236) by user root STARTED",default,v2,reviews,start,process,process,"process_started",nsexec
"2023-06-30 08:38:11","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11670/ns/net, --, tc, qdisc","Process nsexec (PID: 42299) by user root STOPPED",default,v3,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:11","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11670/ns/net, --, tc, qdisc","Process nsexec (PID: 42298) by user root STOPPED",default,v3,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:10","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11670/ns/net, --, tc, qdisc","Process nsexec (PID: 42298) by user root STARTED",default,v1,productpage,start,process,process,"process_started",nsexec
"2023-06-30 08:38:10","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11670/ns/net, --, tc, qdisc","Process nsexec (PID: 42299) by user root STARTED",default,v1,productpage,start,process,process,"process_started",nsexec
"2023-06-30 08:38:10","/usr/sbin/xtables-legacy-multi","iptables-save, -c","Process iptables-save (PID: 42257) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped","iptables-save"
"2023-06-30 08:38:10","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3249/ns/net, --, iptables-save, -c","Process nsexec (PID: 42254) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:09","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3249/ns/net, --, iptables-save, -c","Process nsexec (PID: 42254) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:38:09","/usr/sbin/xtables-legacy-multi","iptables-save, -c","Process iptables-save (PID: 42257) by user root STARTED",default,v1,details,start,process,process,"process_started","iptables-save"
"2023-06-30 08:38:09","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15334/ns/net, --, tc, qdisc","Process nsexec (PID: 42229) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:38:08","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15334/ns/net, --, tc, qdisc","Process nsexec (PID: 42229) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:38:08","/sbin/tc","tc, qdisc","ERROR for PID 42228: failed to get namespaces for /sbin/tc PID 42228: stat /proc/42228/ns/mnt: no such file or directory",default,v1,details,info,process,process,"process_error",tc
"2023-06-30 08:38:08","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3241/ns/net, --, tc, qdisc","ERROR for PID 42226: failed to get namespaces for /usr/local/bin/nsexec PID 42226: stat /proc/42226/ns/mnt: no such file or directory",default,v1,details,info,process,process,"process_error",nsexec
"2023-06-30 08:38:08","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3341/ns/net, --, iptables-save, -c","Process nsexec (PID: 42189) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:37:50","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15417/ns/net, --, iptables-save, -c","ERROR for PID 39361: failed to get namespaces for /usr/local/bin/nsexec PID 39361: stat /proc/39361/ns/mnt: no such file or directory",default,v1,ratings,info,process,process,"process_error",nsexec
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39252) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39259) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39255) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39257) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39256) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39251) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -p, /proc/8836/ns/pid, --, stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process nsexec (PID: 39246) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39254) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39253) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng (PID: 39248) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39250) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:37:47","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 39258) by user root STARTED",default,v1,details,start,process,process,"process_started","stress-ng-cpu"
"2023-06-30 08:36:58","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:9090","Process socat (PID: 31288) by user root STARTED",default,v3,reviews,start,process,process,"process_started",socat
"2023-06-30 08:36:47","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:9090","Process socat (PID: 19480) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",socat
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19405) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -p, /proc/8836/ns/pid, --, stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process nsexec (PID: 19399) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19406) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19409) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19412) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng (PID: 19402) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19403) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19411) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19410) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19407) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19408) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
"2023-06-30 08:36:46","/usr/bin/stress-ng","stress-ng, --cpu-load-slice, 10, --cpu-method, sqrt, --cpu, 10, --cpu-load, 100","Process stress-ng-cpu (PID: 19404) by user root STOPPED",default,v1,details,end,process,process,"process_stopped","stress-ng-cpu"
