,details-v1-7d4d9d5fcb-pkpvm_cpu,productpage-v1-66756cddfd-psmzt_cpu,reviews-v2-cdd8fb88b-pd9dw_cpu
0,0,1,0
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,0,1
9,0,0,1
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,1,0
18,0,1,1
19,0,1,1
20,0,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,0,1
25,1,0,1
26,1,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,1,1,0
34,1,1,0
35,1,1,0
36,1,1,1
37,1,1,1
38,1,1,1
39,1,0,1
40,1,0,1
41,0,0,1
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,1,0,0
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,0
56,1,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,1,0
63,1,1,0
64,1,1,0
65,1,1,0
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,1
70,1,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,1,0,0
78,1,1,0
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,0,1,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,1,1,0
96,1,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,1,1,1
101,1,1,1
102,1,1,0
103,1,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
