"@timestamp","event.action","process.executable","process.args",message,"kubernetes.namespace","kubernetes.labels.version","kubernetes.labels.app","event.type","event.dataset","event.category","process.name"
"2023-05-31 09:24:01","process_started","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 27417) by user root STARTED",default,v2,reviews,start,process,process,socat
"2023-05-31 09:24:01","process_started","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 27420) by user root STARTED",default,v2,reviews,start,process,process,socat
"2023-05-31 09:24:01","process_started","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 27418) by user root STARTED",default,v2,reviews,start,process,process,socat
"2023-05-31 09:24:01","process_started","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 27419) by user root STARTED",default,v2,reviews,start,process,process,socat
"2023-05-31 09:23:51","process_stopped","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 19232) by user root STOPPED",default,v3,reviews,end,process,process,socat
"2023-05-31 09:23:51","process_stopped","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 19231) by user root STOPPED",default,v3,reviews,end,process,process,socat
"2023-05-31 09:23:51","process_stopped","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 19230) by user root STOPPED",default,v3,reviews,end,process,process,socat
"2023-05-31 09:23:51","process_stopped","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 19233) by user root STOPPED",default,v3,reviews,end,process,process,socat
"2023-05-31 09:23:02","process_started","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 19219) by user root STARTED",default,v2,reviews,start,process,process,socat
"2023-05-31 09:22:36","process_started","/usr/bin/dockerd","set-ipv6, /var/run/docker/netns/fb8e45cc62f9, all, false","Process exe (PID: 15432) by user root STARTED",default,v1,ratings,start,process,process,exe
"2023-05-31 09:22:35","process_started","/usr/bin/runc","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/4ddf2a3ec6694d9e91130f2fe2eb41417dbc8ae0a1a3daab1430055bd6d66618/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/4ddf2a3ec6694d9e91130f2fe2eb41417dbc8ae0a1a3daab1430055bd6d66618, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/4ddf2a3ec6694d9e91130f2fe2eb41417dbc8ae0a1a3daab1430055bd6d66618/init.pid, 4ddf2a3ec6694d9e91130f2fe2eb41417dbc8ae0a1a3daab1430055bd6d66618","Process runc (PID: 14781) by user root STARTED",default,v1,ratings,start,process,process,runc
"2023-05-31 09:22:35","process_started","/","runc, init","Process runc:[2:INIT] (PID: 14876) by user root STARTED",default,v1,ratings,start,process,process,"runc:[2:INIT]"
"2023-05-31 09:22:35","process_started","/usr/bin/dockerd","libnetwork-setkey, -exec-root=/var/run/docker, 4ddf2a3ec6694d9e91130f2fe2eb41417dbc8ae0a1a3daab1430055bd6d66618, cf0f69c56670","Process exe (PID: 14950) by user root STARTED",default,v1,ratings,start,process,process,exe
"2023-05-31 09:22:35","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 4ddf2a3ec6694d9e91130f2fe2eb41417dbc8ae0a1a3daab1430055bd6d66618, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 14737) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:21:43","process_stopped","/sbin/fstrim","/sbin/fstrim, /var/lib/docker","Process fstrim (PID: 7038) by user root STOPPED",default,v3,reviews,end,process,process,fstrim
"2023-05-31 09:21:42","process_started","/sbin/fstrim","/sbin/fstrim, /var/lib/docker","Process fstrim (PID: 7038) by user root STARTED",default,v2,reviews,start,process,process,fstrim
"2023-05-31 09:21:31","process_stopped","/pause","/pause","Process pause (PID: 89901) STOPPED",default,v1,ratings,end,process,process,pause
"2023-05-31 09:21:31","process_stopped","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 325644ba459bc4916477a0312a22098b576e1b60f9fd03fb883e0e354ca01f42, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 89875) by user root STOPPED",default,v1,ratings,end,process,process,"containerd-shim"
"2023-05-31 09:21:30","process_stopped","/usr/local/bin/envoy","/usr/local/bin/envoy, -c, etc/istio/proxy/envoy-rev.json, --drain-time-s, 45, --drain-strategy, immediate, --local-address-ip-version, v4, --file-flush-interval-msec, 1000, --disable-hot-restart, --allow-unknown-static-fields, --log-format, %Y-%m-%dT%T.%fZ	%l	envoy %n %g:%#	%v	thread=%t, -l, warning, --component-log-level, misc:error, --concurrency, 2","Process envoy (PID: 90793) STOPPED",default,v1,ratings,end,process,process,envoy
"2023-05-31 09:21:30","process_stopped","/usr/local/bin/pilot-agent","/usr/local/bin/pilot-agent, proxy, sidecar, --domain, default.svc.cluster.local, --proxyLogLevel=warning, --proxyComponentLogLevel=misc:error, --log_output_level=default:info, --concurrency, 2","Process pilot-agent (PID: 90679) STOPPED",default,v1,ratings,end,process,process,"pilot-agent"
"2023-05-31 09:21:30","process_stopped","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 5ed6691105071616a131df2cf37a19fc069f95e90cab203d7a9fb1b730cd179a, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 90503) by user root STOPPED",default,v1,ratings,end,process,process,"containerd-shim"
"2023-05-31 09:21:30","process_stopped","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, ff78967732b9583e75cdd675a3afecacccbb73eae31a234ffc81764dc5a1c044, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 90642) by user root STOPPED",default,v1,ratings,end,process,process,"containerd-shim"
"2023-05-31 09:21:30","process_stopped","/usr/local/bin/node","node, /opt/microservices/ratings.js, 9080","Process node (PID: 90554) by user auditbeat STOPPED",default,v1,ratings,end,process,process,node
"2023-05-31 09:21:29","process_started","/usr/local/bin/envoy","/usr/local/bin/envoy, -c, etc/istio/proxy/envoy-rev.json, --drain-time-s, 45, --drain-strategy, immediate, --local-address-ip-version, v4, --file-flush-interval-msec, 1000, --disable-hot-restart, --allow-unknown-static-fields, --log-format, %Y-%m-%dT%T.%fZ	%l	envoy %n %g:%#	%v	thread=%t, -l, warning, --component-log-level, misc:error, --concurrency, 2","Process envoy (PID: 4913) STARTED",default,v1,ratings,start,process,process,envoy
"2023-05-31 09:21:28","process_started","/usr/local/bin/node","node, /opt/microservices/ratings.js, 9080","Process node (PID: 4797) by user auditbeat STARTED",default,v1,ratings,start,process,process,node
"2023-05-31 09:21:28","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 1f11fbfc593c1daf37b3aba98d59d44d649966dd958b9a56c1f09afee98e627a, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 4843) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:21:28","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 923e76b47d7be5f8a08e03e8153472783f2ddd3194aa9fd1f23ea95c0ebdfbb6, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 4765) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:21:28","process_started","/usr/local/bin/pilot-agent","/usr/local/bin/pilot-agent, proxy, sidecar, --domain, default.svc.cluster.local, --proxyLogLevel=warning, --proxyComponentLogLevel=misc:error, --log_output_level=default:info, --concurrency, 2","Process pilot-agent (PID: 4879) STARTED",default,v1,ratings,start,process,process,"pilot-agent"
"2023-05-31 09:21:27","process_stopped","/usr/bin/runc","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f/init.pid, f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f","Process runc (PID: 4546) by user root STOPPED",default,v1,ratings,end,process,process,runc
"2023-05-31 09:21:26","process_started","/","runc, init","Process runc:[2:INIT] (PID: 4565) by user root STARTED",default,v1,ratings,start,process,process,"runc:[2:INIT]"
"2023-05-31 09:21:26","process_error","/usr/bin/dockerd","set-ipv6, /var/run/docker/netns/b9008fc67183, all, false","ERROR for PID 4582: failed to get namespaces for /usr/bin/dockerd PID 4582: stat /proc/4582/ns/mnt: no such file or directory",default,v1,ratings,info,process,process,exe
"2023-05-31 09:21:26","process_started","/usr/bin/runc","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f/init.pid, f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f","Process runc (PID: 4546) by user root STARTED",default,v1,ratings,start,process,process,runc
"2023-05-31 09:21:26","process_error","/usr/bin/dockerd","libnetwork-setkey, -exec-root=/var/run/docker, f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f, cf0f69c56670","ERROR for PID 4572: failed to get namespaces for /usr/bin/dockerd PID 4572: stat /proc/4572/ns/mnt: no such file or directory",default,v1,ratings,info,process,process,exe
"2023-05-31 09:21:26","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, f21d6ca90d25877bebee40087b9e737bfaee7fd46aa85079aa8adf34568a699f, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 4533) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:20:01","process_stopped","/pause","/pause","Process pause (PID: 76017) STOPPED",default,v1,ratings,end,process,process,pause
"2023-05-31 09:20:01","process_stopped","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 805cbe29f5207fb97ca95eb03fb9dd5f69a12d39bc85d56aecd34eae6d997d7e, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 76341) by user root STOPPED",default,v1,ratings,end,process,process,"containerd-shim"
"2023-05-31 09:20:01","process_stopped","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 75982) by user root STOPPED",default,v1,ratings,end,process,process,"containerd-shim"
"2023-05-31 09:20:00","process_stopped","/usr/local/bin/node","node, /opt/microservices/ratings.js, 9080","Process node (PID: 76267) by user auditbeat STOPPED",default,v1,ratings,end,process,process,node
"2023-05-31 09:20:00","process_stopped","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, c462f030ccf48b4c279714df7093dc75329563332388baedf3b5d8750c0946a1, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 76239) by user root STOPPED",default,v1,ratings,end,process,process,"containerd-shim"
"2023-05-31 09:20:00","process_stopped","/usr/local/bin/pilot-agent","/usr/local/bin/pilot-agent, proxy, sidecar, --domain, default.svc.cluster.local, --proxyLogLevel=warning, --proxyComponentLogLevel=misc:error, --log_output_level=default:info, --concurrency, 2","Process pilot-agent (PID: 76384) STOPPED",default,v1,ratings,end,process,process,"pilot-agent"
"2023-05-31 09:20:00","process_stopped","/usr/local/bin/envoy","/usr/local/bin/envoy, -c, etc/istio/proxy/envoy-rev.json, --drain-time-s, 45, --drain-strategy, immediate, --local-address-ip-version, v4, --file-flush-interval-msec, 1000, --disable-hot-restart, --allow-unknown-static-fields, --log-format, %Y-%m-%dT%T.%fZ	%l	envoy %n %g:%#	%v	thread=%t, -l, warning, --component-log-level, misc:error, --concurrency, 2","Process envoy (PID: 76451) STOPPED",default,v1,ratings,end,process,process,envoy
"2023-05-31 09:19:59","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 5ed6691105071616a131df2cf37a19fc069f95e90cab203d7a9fb1b730cd179a, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 90503) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:19:59","process_started","/usr/local/bin/envoy","/usr/local/bin/envoy, -c, etc/istio/proxy/envoy-rev.json, --drain-time-s, 45, --drain-strategy, immediate, --local-address-ip-version, v4, --file-flush-interval-msec, 1000, --disable-hot-restart, --allow-unknown-static-fields, --log-format, %Y-%m-%dT%T.%fZ	%l	envoy %n %g:%#	%v	thread=%t, -l, warning, --component-log-level, misc:error, --concurrency, 2","Process envoy (PID: 90793) STARTED",default,v1,ratings,start,process,process,envoy
"2023-05-31 09:19:59","process_started","/usr/local/bin/node","node, /opt/microservices/ratings.js, 9080","Process node (PID: 90554) by user auditbeat STARTED",default,v1,ratings,start,process,process,node
"2023-05-31 09:19:59","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, ff78967732b9583e75cdd675a3afecacccbb73eae31a234ffc81764dc5a1c044, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 90642) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:19:59","process_started","/usr/local/bin/pilot-agent","/usr/local/bin/pilot-agent, proxy, sidecar, --domain, default.svc.cluster.local, --proxyLogLevel=warning, --proxyComponentLogLevel=misc:error, --log_output_level=default:info, --concurrency, 2","Process pilot-agent (PID: 90679) STARTED",default,v1,ratings,start,process,process,"pilot-agent"
"2023-05-31 09:19:57","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 325644ba459bc4916477a0312a22098b576e1b60f9fd03fb883e0e354ca01f42, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 89875) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:19:57","process_started","/pause","/pause","Process pause (PID: 89901) STARTED",default,v1,ratings,start,process,process,pause
"2023-05-31 09:18:44","process_stopped","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:5601","Process socat (PID: 65111) by user root STOPPED",default,v1,reviews,end,process,process,socat
"2023-05-31 09:18:29","process_started","/usr/local/bin/pilot-agent","/usr/local/bin/pilot-agent, proxy, sidecar, --domain, default.svc.cluster.local, --proxyLogLevel=warning, --proxyComponentLogLevel=misc:error, --log_output_level=default:info, --concurrency, 2","Process pilot-agent (PID: 76384) STARTED",default,v1,ratings,start,process,process,"pilot-agent"
"2023-05-31 09:18:29","process_started","/usr/local/bin/node","node, /opt/microservices/ratings.js, 9080","Process node (PID: 76267) by user auditbeat STARTED",default,v1,ratings,start,process,process,node
"2023-05-31 09:18:29","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, c462f030ccf48b4c279714df7093dc75329563332388baedf3b5d8750c0946a1, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 76239) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:18:29","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 805cbe29f5207fb97ca95eb03fb9dd5f69a12d39bc85d56aecd34eae6d997d7e, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 76341) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:18:27","process_started","/pause","/pause","Process pause (PID: 76017) STARTED",default,v1,ratings,start,process,process,pause
"2023-05-31 09:18:27","process_stopped","/usr/bin/runc","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a/init.pid, eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a","Process runc (PID: 75994) by user root STOPPED",default,v1,ratings,end,process,process,runc
"2023-05-31 09:18:26","process_started","/usr/bin/containerd-shim-runc-v2","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a, -address, /var/run/desktop-containerd/containerd.sock","Process containerd-shim (PID: 75982) by user root STARTED",default,v1,ratings,start,process,process,"containerd-shim"
"2023-05-31 09:18:26","process_started","/usr/bin/runc","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a/init.pid, eec84e0bc5e305cf37c59d1f0c3a419d7b3cfa05312ca4fa02a444a0b41d946a","Process runc (PID: 75994) by user root STARTED",default,v1,ratings,start,process,process,runc
