,source,destination
0,productpage-v1,details-v1
1,istio-ingressgateway,productpage-v1
2,reviews-v2,ratings-v1
3,reviews-v3,ratings-v1
4,productpage-v1,reviews-v1
5,productpage-v1,reviews-v2
6,productpage-v1,reviews-v3
7,details,docker-desktop
8,productpage,docker-desktop
9,ratings,docker-desktop
10,ratings,docker-desktop
11,ratings,docker-desktop
12,ratings,docker-desktop
13,ratings,docker-desktop
14,ratings,docker-desktop
15,ratings,docker-desktop
16,ratings,docker-desktop
17,reviews,docker-desktop
18,reviews,docker-desktop
19,reviews,docker-desktop
