loadgenerator_frontend&p90,frontend_recommendationservice&p90,loadgenerator_frontend&p99,frontend_recommendationservice&p99,adservice-76b448fddf-qfsdp_cpu,recommendationservice-cc746f6c7-9r7zm_memory
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,5
0,0,0,0,1,5
0,1,0,1,1,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,0,1,3
0,0,0,0,1,3
0,0,0,0,1,4
0,0,0,0,1,4
0,0,0,0,1,3
0,0,0,0,1,3
0,0,0,0,1,3
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,5
0,0,0,0,1,1
0,0,0,0,1,2
0,1,0,1,1,2
1,1,1,1,1,6
1,1,1,1,1,6
1,0,1,0,1,5
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,3
0,0,0,0,1,4
0,0,0,0,1,4
0,0,0,0,1,4
0,0,0,0,1,7
0,0,0,0,1,7
0,0,0,0,1,7
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,6
0,0,0,0,1,6
0,1,0,1,1,5
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,0
1,1,1,1,1,8
1,0,1,0,1,8
0,0,0,0,1,8
0,0,0,0,1,3
0,0,0,0,1,9
0,0,0,0,1,4
0,0,0,0,1,4
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,1
0,0,0,0,1,1
0,1,0,0,1,1
1,1,1,0,1,1
1,1,1,0,1,0
1,0,1,0,1,0
0,0,0,0,1,0
0,0,0,0,1,4
0,0,0,0,1,7
0,0,0,0,1,3
0,0,0,0,1,3
0,0,0,0,1,4
0,0,0,0,1,4
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,1,2
0,0,0,0,1,2
0,0,0,0,1,1
0,1,0,0,1,2
1,1,0,0,1,2
1,1,0,0,1,1
1,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
