,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,adservice,docker-desktop
17,adservice,docker-desktop
18,adservice,docker-desktop
19,adservice,docker-desktop
20,adservice,docker-desktop
21,adservice,docker-desktop
22,adservice,docker-desktop
23,adservice,docker-desktop
24,adservice,docker-desktop
25,adservice,docker-desktop
26,adservice,docker-desktop
27,adservice,docker-desktop
28,adservice,docker-desktop
29,cartservice,docker-desktop
30,cartservice,docker-desktop
31,cartservice,docker-desktop
32,cartservice,docker-desktop
33,cartservice,docker-desktop
34,cartservice,docker-desktop
35,cartservice,docker-desktop
36,cartservice,docker-desktop
37,checkoutservice,docker-desktop
38,currencyservice,docker-desktop
39,emailservice,docker-desktop
40,frontend,docker-desktop
41,loadgenerator,docker-desktop
42,paymentservice,docker-desktop
43,productcatalogservice,docker-desktop
44,recommendationservice,docker-desktop
45,redis,docker-desktop
46,shippingservice,docker-desktop
