,timestamp,cartservice
0,2023-08-22 06:08:34,1
1,2023-08-22 06:08:34,1
2,2023-08-22 06:08:34,1
3,2023-08-22 06:08:34,1
12,2023-08-22 06:07:59,1
13,2023-08-22 06:07:59,1
14,2023-08-22 06:07:59,1
15,2023-08-22 06:07:59,1
46,2023-08-22 06:03:18,1
47,2023-08-22 06:03:18,1
48,2023-08-22 06:03:18,1
49,2023-08-22 06:03:17,1
82,2023-08-22 05:54:30,1
83,2023-08-22 05:54:30,1
84,2023-08-22 05:54:30,1
85,2023-08-22 05:54:29,1
86,2023-08-22 05:54:29,1
87,2023-08-22 05:54:29,1
96,2023-08-22 05:53:43,1
98,2023-08-22 05:53:40,1
99,2023-08-22 05:53:40,1
100,2023-08-22 05:53:40,1
