"@timestamp","process.args","kubernetes.labels.app","kubernetes.pod.name"
"2023-08-22 04:38:21","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 8e21bba1dc609641012a3c3c8858409932ebf59088d6aeb1b15adffc90638138, -address, /var/run/desktop-containerd/containerd.sock",shippingservice,"shippingservice-7ccdfd8767-9c9h6"
"2023-08-22 04:38:21","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, a17e53a0c3220788b07ec988b9200baeccdef3259e17ef43de9764e7f4fe8abb, -address, /var/run/desktop-containerd/containerd.sock",shippingservice,"shippingservice-7ccdfd8767-9c9h6"
"2023-08-22 04:38:21","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 582a3b991835bb5d4060445b82810d5ba25fb5d549845aba1976580b83cefbb4, -address, /var/run/desktop-containerd/containerd.sock",shippingservice,"shippingservice-7ccdfd8767-9c9h6"
"2023-08-22 04:38:21","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, fabf2c9802d226c388d81f55dc702155ec4479f852edc8082e44f03c844e7ce3, -address, /var/run/desktop-containerd/containerd.sock",shippingservice,"shippingservice-7ccdfd8767-9c9h6"
"2023-08-22 04:37:41","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, fabf2c9802d226c388d81f55dc702155ec4479f852edc8082e44f03c844e7ce3, -address, /var/run/desktop-containerd/containerd.sock",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-22 04:37:40","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, d0ace5f117e6eb35e91509ce23a26424f2b772c2e6738b64aaed0d8336847c19, -address, /var/run/desktop-containerd/containerd.sock",cartservice,"cartservice-6969c94d94-4wphs"
"2023-08-22 04:36:35","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 3570e383ab2839b43d12d16a5778fdec236b462466387ceb914a30b646b53430, -address, /var/run/desktop-containerd/containerd.sock",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-22 04:36:35","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f/init.pid, 83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-22 04:36:34","runc, init",cartservice,"cartservice-6969c94d94-4wphs"
"2023-08-22 04:36:33","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f/init.pid, 83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f",cartservice,"cartservice-6969c94d94-4wphs"
"2023-08-22 04:36:33","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 83f252caf095021d3a0dcc996e8a4a20327cd318c52c31283bd9c8c09a7ca07f, -address, /var/run/desktop-containerd/containerd.sock",cartservice,"cartservice-6969c94d94-4wphs"
