,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,checkoutservice,docker-desktop
18,checkoutservice,docker-desktop
19,checkoutservice,docker-desktop
20,checkoutservice,docker-desktop
21,checkoutservice,docker-desktop
22,checkoutservice,docker-desktop
23,checkoutservice,docker-desktop
24,checkoutservice,docker-desktop
25,checkoutservice,docker-desktop
26,checkoutservice,docker-desktop
27,currencyservice,docker-desktop
28,emailservice,docker-desktop
29,frontend,docker-desktop
30,loadgenerator,docker-desktop
31,paymentservice,docker-desktop
32,productcatalogservice,docker-desktop
33,recommendationservice,docker-desktop
34,redis,docker-desktop
35,shippingservice,docker-desktop
