frontend_checkoutservice&p90,frontend_checkoutservice&p99,loadgenerator_frontend&p99
475.0,497.5,246.8333333333333
475.0,497.5,246.8333333333333
475.0,497.5,487.85714285714295
950.0,995.0,487.85714285714295
950.0,995.0,487.85714285714295
950.0,995.0,1794.9999999999957
235.0,248.50000000000003,1794.9999999999957
235.0,248.50000000000003,1794.9999999999957
235.0,248.50000000000003,944.9999999999995
235.0,248.50000000000003,944.9999999999995
235.0,248.50000000000003,944.9999999999995
235.0,248.50000000000003,2400.0
95.0,99.5,2400.0
95.0,99.5,2400.0
95.0,99.5,247.45
235.0,248.50000000000003,247.45
235.0,248.50000000000003,247.45
235.0,248.50000000000003,467.4999999999999
95.0,99.5,467.4999999999999
95.0,99.5,467.4999999999999
95.0,99.5,246.30769230769232
205.00000000000003,245.5,246.30769230769232
205.00000000000003,245.5,246.30769230769232
205.00000000000003,245.5,479.375
235.0,248.5,479.375
235.0,248.5,479.375
235.0,248.5,390.0000000000002
9000.0,9900.0,390.0000000000002
9000.0,9900.0,390.0000000000002
9000.0,9900.0,452.50000000000006
850.0,985.0,452.50000000000006
850.0,985.0,452.50000000000006
850.0,985.0,8000.000000000013
95.0,99.5,8000.000000000013
95.0,99.5,8000.000000000013
95.0,99.5,869.9999999999991
235.0,248.5,869.9999999999991
235.0,248.5,869.9999999999991
235.0,248.5,466.6666666666664
450.0,495.0,466.6666666666664
450.0,495.0,466.6666666666664
450.0,495.0,481.5
205.00000000000003,245.5,481.5
205.00000000000003,245.5,481.5
205.00000000000003,245.5,800.0000000000014
235.0,248.5,800.0000000000014
235.0,248.5,800.0000000000014
235.0,248.5,484.6428571428571
95.0,99.5,484.6428571428571
95.0,99.5,484.6428571428571
95.0,99.5,397.5
95.0,99.5,397.5
95.0,99.5,397.5
95.0,99.5,475.0
95.0,99.5,475.0
95.0,99.5,475.0
95.0,99.5,246.5909090909091
220.00000000000003,247.0,246.5909090909091
220.00000000000003,247.0,246.5909090909091
220.00000000000003,247.0,480.99999999999983
235.0,248.5,480.99999999999983
235.0,248.5,480.99999999999983
235.0,248.5,420.0000000000002
95.0,99.5,420.0000000000002
95.0,99.5,420.0000000000002
95.0,99.5,247.075
95.0,99.5,247.075
95.0,99.5,247.075
95.0,99.5,785.0000000000018
425.0,492.5,785.0000000000018
425.0,492.5,785.0000000000018
425.0,492.5,427.4999999999999
95.0,99.5,427.4999999999999
95.0,99.5,427.4999999999999
95.0,99.5,931.6666666666664
93.33333333333334,99.33333333333334,931.6666666666664
93.33333333333334,99.33333333333334,931.6666666666664
93.33333333333334,99.33333333333334,465.0
450.0,495.0,465.0
450.0,495.0,465.0
450.0,495.0,429.9999999999998
235.0,248.50000000000003,429.9999999999998
235.0,248.50000000000003,429.9999999999998
235.0,248.50000000000003,451.2499999999996
95.0,99.5,451.2499999999996
95.0,99.5,451.2499999999996
95.0,99.5,795.0000000000011
95.0,99.5,795.0000000000011
95.0,99.5,795.0000000000011
95.0,99.5,488.05555555555554
235.0,248.5,488.05555555555554
235.0,248.5,488.05555555555554
235.0,248.5,443.75000000000034
235.0,248.5,443.75000000000034
235.0,248.5,443.75000000000034
235.0,248.5,492.0454545454545
95.0,99.5,492.0454545454545
95.0,99.5,492.0454545454545
95.0,99.5,485.0
95.0,99.5,485.0
95.0,99.5,485.0
95.0,99.5,456.25
425.0000000000001,492.5,456.25
425.0000000000001,492.5,456.25
425.0000000000001,492.5,904.9999999999998
95.0,99.5,904.9999999999998
95.0,99.5,904.9999999999998
95.0,99.5,892.5
47.5,49.75,892.5
47.5,49.75,892.5
47.5,49.75,245.62500000000003
47.5,49.75,245.62500000000003
47.5,49.75,245.62500000000003
47.5,49.75,895.0000000000002
95.0,99.5,895.0000000000002
95.0,99.5,895.0000000000002
95.0,99.5,460.00000000000017
95.0,99.5,460.00000000000017
95.0,99.5,460.00000000000017
95.0,99.5,460.0
95.0,99.5,460.0
