loadgenerator_frontend&p99,shippingservice.csv,emailservice.csv,redis-cart.csv,productcatalogservice.csv,paymentservice.csv,adservice.csv,checkoutservice.csv,currencyservice.csv,cartservice.csv,recommendationservice.csv
438.7500000000001,0,0,0,0,0,0,0,0,0,0
438.7500000000001,0,0,0,0,0,0,0,0,0,0
392.50000000000045,0,0,0,0,0,0,0,0,0,0
392.50000000000045,0,0,0,0,0,0,0,0,0,0
392.50000000000045,0,0,0,0,0,0,0,0,0,0
240.57142857142856,0,0,0,0,0,0,0,0,0,0
240.57142857142856,0,0,0,0,0,0,0,0,0,0
240.57142857142856,0,0,0,0,0,0,0,0,0,0
2357.500000000001,0,0,0,0,0,0,0,0,0,0
2357.500000000001,0,0,0,0,0,0,0,0,0,0
2357.500000000001,0,0,0,0,0,0,0,0,0,0
464.9999999999999,0,0,0,0,0,0,0,0,0,0
464.9999999999999,0,0,0,0,0,0,0,0,0,0
464.9999999999999,0,0,0,0,0,0,0,0,0,0
422.49999999999966,0,0,0,0,0,0,0,0,0,0
422.49999999999966,0,0,0,0,0,0,0,0,0,0
422.49999999999966,0,0,0,0,0,0,0,0,0,0
239.5,0,0,0,0,0,0,0,0,0,0
239.5,0,0,0,0,0,0,0,0,0,0
239.5,0,0,0,0,0,0,0,0,0,0
227.0,0,0,0,0,0,0,0,0,0,0
227.0,0,0,0,0,0,0,0,0,0,0
227.0,0,0,0,0,0,0,0,0,0,0
243.1818181818182,0,0,0,0,0,0,0,0,0,0
243.1818181818182,0,0,0,0,0,0,0,0,0,0
243.1818181818182,0,0,0,0,0,0,0,0,0,0
464.16666666666674,0,0,0,0,0,0,0,0,0,0
464.16666666666674,0,0,0,0,0,0,0,0,0,0
464.16666666666674,0,0,1,0,0,0,0,0,1,0
244.5,0,0,1,0,0,0,0,0,0,0
244.5,0,0,0,0,0,0,0,0,0,0
244.5,0,0,0,0,0,0,1,0,0,0
804.9999999999991,0,0,0,0,0,0,0,0,0,0
804.9999999999991,0,0,0,0,0,0,0,0,0,0
804.9999999999991,0,0,0,0,0,0,0,0,0,0
244.9,0,0,0,0,0,0,0,0,0,0
244.9,0,0,1,0,0,0,0,0,0,0
244.9,0,0,0,0,0,0,0,0,0,0
395.00000000000034,0,0,0,0,0,0,0,0,0,0
395.00000000000034,0,0,0,0,0,0,0,0,0,0
395.00000000000034,0,0,0,0,0,0,0,0,0,0
237.99999999999991,0,0,0,0,0,0,0,0,0,0
237.99999999999991,0,0,1,1,0,0,0,0,0,0
237.99999999999991,0,0,0,0,0,0,0,0,0,0
387.4999999999993,0,0,0,0,0,0,0,0,0,0
387.4999999999993,0,0,0,0,0,0,0,0,0,0
387.4999999999993,0,0,0,0,0,0,0,0,0,0
394.9999999999998,0,0,0,0,0,0,0,0,0,0
394.9999999999998,0,0,0,0,0,0,0,0,0,0
394.9999999999998,0,0,1,1,0,0,0,0,0,0
231.25,0,0,0,0,0,0,0,0,0,0
231.25,0,0,0,0,0,0,0,0,0,0
231.25,0,0,0,0,0,0,0,0,0,0
457.5,0,0,0,0,0,0,0,0,0,0
457.5,0,0,0,0,0,0,0,0,0,0
457.5,0,0,0,0,0,0,0,0,0,0
242.25000000000003,0,0,0,0,0,0,0,0,0,1
242.25000000000003,0,0,0,0,0,1,0,0,0,0
242.25000000000003,0,0,0,0,0,0,0,0,0,0
466.25,0,0,0,0,0,0,0,0,0,0
466.25,0,0,0,0,0,0,0,0,0,0
466.25,0,0,0,0,0,0,0,0,0,0
775.0000000000018,0,0,0,0,0,0,0,0,0,0
775.0000000000018,0,0,1,1,0,0,0,0,0,0
775.0000000000018,0,0,0,0,0,0,0,0,0,0
233.49999999999991,0,0,0,0,0,0,0,0,0,0
233.49999999999991,0,0,0,0,0,0,0,0,0,0
233.49999999999991,0,0,0,0,0,0,0,0,0,0
805.0000000000011,0,0,0,0,0,0,0,0,0,0
805.0000000000011,0,0,0,0,0,0,0,0,0,0
805.0000000000011,0,0,0,0,0,0,0,0,0,1
231.50000000000009,0,0,0,0,0,0,0,0,0,0
231.50000000000009,0,0,0,0,0,0,0,0,0,0
231.50000000000009,0,0,0,0,0,0,0,0,0,0
462.4999999999999,0,0,0,0,0,0,0,0,0,0
462.4999999999999,0,0,0,0,0,0,0,0,0,0
462.4999999999999,0,0,0,0,0,0,0,0,0,0
238.00000000000003,0,0,1,1,0,0,0,0,0,0
238.00000000000003,0,0,0,0,0,0,0,0,1,0
238.00000000000003,0,0,0,0,0,0,0,0,0,0
