,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,checkoutservice,docker-desktop
18,checkoutservice,docker-desktop
19,checkoutservice,docker-desktop
20,currencyservice,docker-desktop
21,emailservice,docker-desktop
22,frontend,docker-desktop
23,loadgenerator,docker-desktop
24,paymentservice,docker-desktop
25,productcatalogservice,docker-desktop
26,recommendationservice,docker-desktop
27,redis,docker-desktop
28,shippingservice,docker-desktop
