,timestamp,checkoutservice
16,2023-08-23 06:12:23,1
17,2023-08-23 06:12:23,1
18,2023-08-23 06:12:23,1
19,2023-08-23 06:12:23,1
20,2023-08-23 06:12:23,1
54,2023-08-23 06:10:17,1
55,2023-08-23 06:10:17,1
95,2023-08-23 06:08:04,1
96,2023-08-23 06:08:03,1
97,2023-08-23 06:08:03,1
98,2023-08-23 06:08:03,1
99,2023-08-23 06:08:03,1
110,2023-08-23 06:06:53,1
111,2023-08-23 06:06:53,1
112,2023-08-23 06:06:53,1
113,2023-08-23 06:06:53,1
114,2023-08-23 06:06:53,1
115,2023-08-23 06:06:53,1
141,2023-08-23 06:05:48,1
142,2023-08-23 06:05:48,1
143,2023-08-23 06:05:48,1
144,2023-08-23 06:05:48,1
145,2023-08-23 06:05:48,1
146,2023-08-23 06:05:48,1
147,2023-08-23 06:05:48,1
148,2023-08-23 06:05:48,1
