"@timestamp","process.args","kubernetes.labels.app","kubernetes.pod.name"
"2023-08-23 06:48:36","runc, init",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:36","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 3be619e92bc741520f05798f27362f6e0851d820ba2bf34b742d89b45847144e, -address, /var/run/desktop-containerd/containerd.sock",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:36","runc, init",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:36","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 978ff4ab192b063e3dad2c303bb932ab21b2c071ba07ff58452759f8b7170024, -address, /var/run/desktop-containerd/containerd.sock",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:36","runc, init",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:36","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, d5eba87bfda872753644615b6bfbf0949f41cd9ff7fbe5860e95085cdfb27f88, -address, /var/run/desktop-containerd/containerd.sock",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:36","runc, init",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:36","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 55d7341b5d3223002e61759213b0fa0b593d14afea17875c7fb54394449e10ac, -address, /var/run/desktop-containerd/containerd.sock",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:48:32","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 4c6c396a3ad82cd1d507221195dcbe0d8afe19feb2481ead6c3bbd39d98f0b34, -address, /var/run/desktop-containerd/containerd.sock",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:48:32","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 2b9b29788a3ba7302687be8b51b4d88ac49b116b9629a60b1da202830c62080c, -address, /var/run/desktop-containerd/containerd.sock",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:48:28","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, d5eba87bfda872753644615b6bfbf0949f41cd9ff7fbe5860e95085cdfb27f88, -address, /var/run/desktop-containerd/containerd.sock",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-23 06:48:16","runc, --version","redis-cart","redis-cart-6997b66668-xkfsv"
"2023-08-23 06:48:16","runc, --version","redis-cart","redis-cart-6997b66668-xkfsv"
"2023-08-23 06:47:40","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 4365063c21308f0ec35b8266739f4ae89dc9f60acbae2a7b4b2c70cb27c36e16, -address, /var/run/desktop-containerd/containerd.sock",adservice,"adservice-76b448fddf-qfsdp"
"2023-08-23 06:47:40","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 8c9dcda5df5d5dca1a1ccefd29e2ecc25c184238d3dde2913d07a9b063d288ba, -address, /var/run/desktop-containerd/containerd.sock",adservice,"adservice-76b448fddf-qfsdp"
"2023-08-23 06:47:40","runc, init",adservice,"adservice-76b448fddf-qfsdp"
"2023-08-23 06:47:40","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, e3dba62e0c92eb1d6e0b56e0d61eb1b2d5ef6268d1e3369b7e8c78ae801e1758, -address, /var/run/desktop-containerd/containerd.sock",adservice,"adservice-76b448fddf-qfsdp"
"2023-08-23 06:47:40","runc, init",adservice,"adservice-76b448fddf-qfsdp"
"2023-08-23 06:47:34","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/8c9dcda5df5d5dca1a1ccefd29e2ecc25c184238d3dde2913d07a9b063d288ba/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/8c9dcda5df5d5dca1a1ccefd29e2ecc25c184238d3dde2913d07a9b063d288ba, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/8c9dcda5df5d5dca1a1ccefd29e2ecc25c184238d3dde2913d07a9b063d288ba/init.pid, 8c9dcda5df5d5dca1a1ccefd29e2ecc25c184238d3dde2913d07a9b063d288ba",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:34","runc, init",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:34","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/e3dba62e0c92eb1d6e0b56e0d61eb1b2d5ef6268d1e3369b7e8c78ae801e1758/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/e3dba62e0c92eb1d6e0b56e0d61eb1b2d5ef6268d1e3369b7e8c78ae801e1758, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/e3dba62e0c92eb1d6e0b56e0d61eb1b2d5ef6268d1e3369b7e8c78ae801e1758/init.pid, e3dba62e0c92eb1d6e0b56e0d61eb1b2d5ef6268d1e3369b7e8c78ae801e1758",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:34","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/4365063c21308f0ec35b8266739f4ae89dc9f60acbae2a7b4b2c70cb27c36e16/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/4365063c21308f0ec35b8266739f4ae89dc9f60acbae2a7b4b2c70cb27c36e16, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/4365063c21308f0ec35b8266739f4ae89dc9f60acbae2a7b4b2c70cb27c36e16/init.pid, 4365063c21308f0ec35b8266739f4ae89dc9f60acbae2a7b4b2c70cb27c36e16",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:34","runc, init",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:34","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 4365063c21308f0ec35b8266739f4ae89dc9f60acbae2a7b4b2c70cb27c36e16, -address, /var/run/desktop-containerd/containerd.sock","redis-cart","redis-cart-6997b66668-xkfsv"
"2023-08-23 06:47:34","runc, init","redis-cart","redis-cart-6997b66668-xkfsv"
"2023-08-23 06:47:33","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, e3dba62e0c92eb1d6e0b56e0d61eb1b2d5ef6268d1e3369b7e8c78ae801e1758, -address, /var/run/desktop-containerd/containerd.sock",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:33","runc, init",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:33","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 81d7e7421f96e71093f573dbd3db8b6e968274e44de95023d93237a99f7737d8, -address, /var/run/desktop-containerd/containerd.sock",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:33","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/81d7e7421f96e71093f573dbd3db8b6e968274e44de95023d93237a99f7737d8/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/81d7e7421f96e71093f573dbd3db8b6e968274e44de95023d93237a99f7737d8, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/81d7e7421f96e71093f573dbd3db8b6e968274e44de95023d93237a99f7737d8/init.pid, 81d7e7421f96e71093f573dbd3db8b6e968274e44de95023d93237a99f7737d8",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:47:33","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 8c9dcda5df5d5dca1a1ccefd29e2ecc25c184238d3dde2913d07a9b063d288ba, -address, /var/run/desktop-containerd/containerd.sock",currencyservice,"currencyservice-ccbc788bc-7lbhx"
"2023-08-23 06:46:32","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 131e63e7ad79c99bdffb7c9de8f0287a69796a37d709c18d9e25034da2bd9dc0, -address, /var/run/desktop-containerd/containerd.sock",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:46:32","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 26975565a5ca30ab9734b61fd78dc504a4916789ecda362158e2f4e8477ec615, -address, /var/run/desktop-containerd/containerd.sock",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:46:32","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 5175dd7317f81ef782c9dc44665c89cb553e810d0dbc6526c0182d5cc2303093, -address, /var/run/desktop-containerd/containerd.sock",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:46:32","runc, init",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:46:32","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 1ce5c57808098dba108473e9774f2090e5a0af1aa91835ba01497c2dcfaecbed, -address, /var/run/desktop-containerd/containerd.sock",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:46:32","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 066f97c53376c9390811060f7d1c8eb58ae41423f2b6a5a87646df95874fa6bf, -address, /var/run/desktop-containerd/containerd.sock",paymentservice,"paymentservice-78549bfd9c-h8tg5"
"2023-08-23 06:46:28","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 066f97c53376c9390811060f7d1c8eb58ae41423f2b6a5a87646df95874fa6bf, -address, /var/run/desktop-containerd/containerd.sock",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-23 06:46:28","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 1ce5c57808098dba108473e9774f2090e5a0af1aa91835ba01497c2dcfaecbed, -address, /var/run/desktop-containerd/containerd.sock",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-23 06:46:28","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 131e63e7ad79c99bdffb7c9de8f0287a69796a37d709c18d9e25034da2bd9dc0, -address, /var/run/desktop-containerd/containerd.sock",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-23 06:46:22","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 94ef1eb53d37279990f1986525f2e0b633bc49d34ff75e699676b811992bc24e, -address, /var/run/desktop-containerd/containerd.sock",frontend,"frontend-846c85c54c-9rg78"
