,timestamp,front-end_carts&p90,unknown_carts&p90,front-end_catalogue&p90,unknown_catalogue&p90,unknown_front-end&p90,unknown_orders&p90,unknown_payment&p90,unknown_queue-master&p90,unknown_shipping&p90,unknown_user&p90
0,2023-08-25 07:35:44,,8.500000000000002,,8.5,46.25,4.6,20.5,42.5,20.5,8.5
1,2023-08-25 07:35:49,,4.6,,8.5,42.5,4.6,20.5,42.5,20.5,8.5
2,2023-08-25 07:35:54,,4.6,,8.5,42.5,4.6,20.5,42.50000000000001,20.5,8.5
3,2023-08-25 07:35:59,,4.6,,8.5,42.5,4.6,8.500000000000002,42.50000000000001,20.5,8.5
4,2023-08-25 07:36:04,,4.6,,4.6,42.5,4.6,8.500000000000002,42.50000000000001,20.5,8.5
5,2023-08-25 07:36:09,,4.6,,4.6,42.5,4.6,8.500000000000002,42.5,20.5,9.25
6,2023-08-25 07:36:14,,4.6,,4.6,42.5,4.6,8.5,42.5,20.5,9.25
7,2023-08-25 07:36:19,,4.6,,4.6,42.5,4.6,8.5,42.5,20.5,9.25
8,2023-08-25 07:36:24,,4.6,,4.6,42.5,4.6,8.5,4.6,20.5,8.5
9,2023-08-25 07:36:29,,4.6,,4.6,42.5,4.6,4.6,4.6,9.5,8.5
10,2023-08-25 07:36:34,,4.6,,8.5,42.5,4.6,4.6,4.6,9.5,8.5
11,2023-08-25 07:36:39,,4.6,,8.5,42.5,4.6,4.6,4.6,9.5,9.25
12,2023-08-25 07:36:44,,8.0,,8.5,42.5,4.6,4.6,4.6,9.5,9.25
13,2023-08-25 07:36:49,,8.5,,9.25,23.5,4.6,4.6,4.6,9.5,9.25
14,2023-08-25 07:36:54,,8.5,,9.25,23.5,4.6,4.6,4.6,9.5,8.500000000000002
15,2023-08-25 07:36:59,,8.500000000000002,,9.25,23.5,4.6,4.6,4.6,20.500000000000004,8.500000000000002
16,2023-08-25 07:37:04,,8.500000000000002,,20.500000000000004,23.5,4.6,4.6,4.6,20.500000000000004,8.500000000000002
17,2023-08-25 07:37:09,,8.500000000000002,,20.500000000000004,23.5,42.5,4.6,4.6,20.500000000000004,20.5
18,2023-08-25 07:37:14,,8.5,,20.500000000000004,23.5,42.5,4.6,4.6,22.75,20.5
19,2023-08-25 07:37:19,,8.5,,20.5,23.5,42.5,4.6,4.6,22.75,20.5
20,2023-08-25 07:37:24,,8.5,,20.5,23.5,42.5,4.6,4.6,22.75,20.5
21,2023-08-25 07:37:29,,4.6,,20.5,23.5,42.5,4.6,4.6,22.75,20.5
22,2023-08-25 07:37:34,,4.6,,20.5,23.5,42.5,4.6,4.6,22.75,20.5
23,2023-08-25 07:37:39,,4.6,,20.5,23.5,42.5,4.6,4.6,22.75,20.5
24,2023-08-25 07:37:44,,8.5,,20.5,23.5,42.5,4.6,4.6,20.5,20.5
25,2023-08-25 07:37:49,,8.5,,20.5,42.5,42.5,4.6,4.6,20.5,20.5
26,2023-08-25 07:37:54,,8.5,,20.5,42.5,4.6,4.6,205.0,20.5,8.5
