,source,destination
0,front-end,carts
1,orders,carts
2,unknown,carts
3,front-end,catalogue
4,unknown,catalogue
5,unknown,front-end
6,front-end,orders
7,unknown,orders
8,unknown,payment
9,unknown,queue-master
10,unknown,shipping
11,front-end,user
12,orders,user
13,unknown,user
14,carts,docker-desktop
15,carts,docker-desktop
16,catalogue,docker-desktop
17,catalogue,docker-desktop
18,front,docker-desktop
19,orders,docker-desktop
20,orders,docker-desktop
21,orders,docker-desktop
22,orders,docker-desktop
23,orders,docker-desktop
24,orders,docker-desktop
25,orders,docker-desktop
26,orders,docker-desktop
27,orders,docker-desktop
28,orders,docker-desktop
29,orders,docker-desktop
30,orders,docker-desktop
31,orders,docker-desktop
32,orders,docker-desktop
33,orders,docker-desktop
34,orders,docker-desktop
35,payment,docker-desktop
36,queue,docker-desktop
37,rabbitmq,docker-desktop
38,session,docker-desktop
39,shipping,docker-desktop
40,user,docker-desktop
41,user,docker-desktop
