@timestamp,process.args,kubernetes.labels.app,kubernetes.pod.name
2023-08-24 15:19:33,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 16e77084a9bd40844366db50ab799a1af217cf278c87ad4aa0cd5c6b403f5677, -address, /var/run/desktop-containerd/containerd.sock",carts,carts-db-67f744dd5f-jsmnm
2023-08-24 15:19:33,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b19e106719117b883350014714129c4dcac864626e6f2881a90dae7239983fbe/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b19e106719117b883350014714129c4dcac864626e6f2881a90dae7239983fbe, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b19e106719117b883350014714129c4dcac864626e6f2881a90dae7239983fbe/init.pid, b19e106719117b883350014714129c4dcac864626e6f2881a90dae7239983fbe",carts,carts-db-67f744dd5f-jsmnm
2023-08-24 15:19:30,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/9930e44ee767c155269b8e7730dd75e341bc4cfec781290baa6072bf914b58d9/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/9930e44ee767c155269b8e7730dd75e341bc4cfec781290baa6072bf914b58d9, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/9930e44ee767c155269b8e7730dd75e341bc4cfec781290baa6072bf914b58d9/init.pid, 9930e44ee767c155269b8e7730dd75e341bc4cfec781290baa6072bf914b58d9",shipping,shipping-79c568cddc-jtq95
2023-08-24 15:19:30,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b256b57099d5aecd048e69a57c764af3f9b9ab551989239c40ec0c2770b3041f/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b256b57099d5aecd048e69a57c764af3f9b9ab551989239c40ec0c2770b3041f, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b256b57099d5aecd048e69a57c764af3f9b9ab551989239c40ec0c2770b3041f/init.pid, b256b57099d5aecd048e69a57c764af3f9b9ab551989239c40ec0c2770b3041f",shipping,shipping-79c568cddc-jtq95
2023-08-24 15:19:27,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/45610c3de6344b7d1c59e5ec5ef02605ed3315656c63586a53a0a7da53f622b2/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/45610c3de6344b7d1c59e5ec5ef02605ed3315656c63586a53a0a7da53f622b2, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/45610c3de6344b7d1c59e5ec5ef02605ed3315656c63586a53a0a7da53f622b2/init.pid, 45610c3de6344b7d1c59e5ec5ef02605ed3315656c63586a53a0a7da53f622b2",session,session-db-695f7fd48f-j5twv
2023-08-24 15:19:27,"runc, init",session,session-db-695f7fd48f-j5twv
2023-08-24 15:19:27,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 45610c3de6344b7d1c59e5ec5ef02605ed3315656c63586a53a0a7da53f622b2, -address, /var/run/desktop-containerd/containerd.sock",session,session-db-695f7fd48f-j5twv
2023-08-24 15:19:22,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 34f85a6e20bd67ab9cdf27a88bf4b859d3822fb98168bec26bce706211bdaf7c, -address, /var/run/desktop-containerd/containerd.sock",front,front-end-7f5c844b4c-c8gzm
2023-08-24 15:18:23,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 0f347ff1df688fb3ba14a968aa2aed155b6aa4965c1752ca247b0c834ae1f536, -address, /var/run/desktop-containerd/containerd.sock",rabbitmq,rabbitmq-6576689cc9-hrqlj
2023-08-24 15:18:21,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, fe51ec5c624abcab5fedf646bb23a6e15c2e7ab7352e42d784ca36e92b08891a, -address, /var/run/desktop-containerd/containerd.sock",rabbitmq,rabbitmq-6576689cc9-hrqlj
2023-08-24 15:18:01,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, e6e5dfd3cb7fa292f2a2c7806b3e09113984a8d7421d5ad524c1d3af993cb623, -address, /var/run/desktop-containerd/containerd.sock",shipping,shipping-79c568cddc-jtq95
2023-08-24 15:18:01,"runc, init",shipping,shipping-79c568cddc-jtq95
2023-08-24 15:18:01,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, d94d6b4179564712daf093f5367de509eca0da02ff27e35fd059d906167287cb, -address, /var/run/desktop-containerd/containerd.sock",shipping,shipping-79c568cddc-jtq95
2023-08-24 15:18:01,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, ced73e41ed7d12092a3aa3514696c0485aa4e23b1e932e13b4b2b90fa466ab37, -address, /var/run/desktop-containerd/containerd.sock",shipping,shipping-79c568cddc-jtq95
2023-08-24 15:18:00,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/ced73e41ed7d12092a3aa3514696c0485aa4e23b1e932e13b4b2b90fa466ab37/log.json, --log-format, json, delete, ced73e41ed7d12092a3aa3514696c0485aa4e23b1e932e13b4b2b90fa466ab37",payment,payment-c7df5b49-zlcth
2023-08-24 15:17:58,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, fb0036fe04a2ac3c577260a31b5312bb675234fc25e160a3862d9aa7d2a50c53, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-74f65597c5-w5csr
2023-08-24 15:17:58,"runc, init",orders,orders-74f65597c5-w5csr
2023-08-24 15:17:57,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, e8d956677069e39a4ef1c3461aa38dd27f4a6877b0f59f57a621e3656d46efb3, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-74f65597c5-6kbh9
2023-08-24 15:17:35,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, ffce0dab82f5cdaaf2184e0947fededecec106f96c9abe4771bb82877aa7f05a, -address, /var/run/desktop-containerd/containerd.sock",rabbitmq,rabbitmq-6576689cc9-hrqlj
2023-08-24 15:17:35,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 5e2aed86d53ef82b34f8059b1049c8cfd3b71f32f021fea55e983718ad1e3b57, -address, /var/run/desktop-containerd/containerd.sock",rabbitmq,rabbitmq-6576689cc9-hrqlj
2023-08-24 15:17:29,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 29d83068f443e200bb0b9d92c09cf5a730c1028dcd3d2aed3841622491ab30c0, -address, /var/run/desktop-containerd/containerd.sock",user,user-79dddf5cc9-rvpfd
2023-08-24 15:17:24,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, ced73e41ed7d12092a3aa3514696c0485aa4e23b1e932e13b4b2b90fa466ab37, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-74f65597c5-9szwf
2023-08-24 15:17:23,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, d94d6b4179564712daf093f5367de509eca0da02ff27e35fd059d906167287cb, -address, /var/run/desktop-containerd/containerd.sock",queue,queue-master-9fc44d68d-8cx26
2023-08-24 15:17:23,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 98f984a5a037818cddb04a7812581283f4392faa23d5e9523650abec5418020f, -address, /var/run/desktop-containerd/containerd.sock",queue,queue-master-9fc44d68d-8cx26
2023-08-24 15:17:23,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 374f2d53515599d9d106c653c5b01885a9439cb538fd7bbf74bb0f2eda286ec2, -address, /var/run/desktop-containerd/containerd.sock",queue,queue-master-9fc44d68d-8cx26
2023-08-24 15:17:21,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b73b3a8ac9cae1b3efbf3561fe2faf1e89f773cd00c15b65f7c5460fe1446865/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b73b3a8ac9cae1b3efbf3561fe2faf1e89f773cd00c15b65f7c5460fe1446865, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b73b3a8ac9cae1b3efbf3561fe2faf1e89f773cd00c15b65f7c5460fe1446865/init.pid, b73b3a8ac9cae1b3efbf3561fe2faf1e89f773cd00c15b65f7c5460fe1446865",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"runc, init",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, d64ce13fd18a03136a81a25a6189f6b7cf7aaf7cba1d733896d5f74a787bf5f1, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/fb0036fe04a2ac3c577260a31b5312bb675234fc25e160a3862d9aa7d2a50c53/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/fb0036fe04a2ac3c577260a31b5312bb675234fc25e160a3862d9aa7d2a50c53, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/fb0036fe04a2ac3c577260a31b5312bb675234fc25e160a3862d9aa7d2a50c53/init.pid, fb0036fe04a2ac3c577260a31b5312bb675234fc25e160a3862d9aa7d2a50c53",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, b73b3a8ac9cae1b3efbf3561fe2faf1e89f773cd00c15b65f7c5460fe1446865, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, fb0036fe04a2ac3c577260a31b5312bb675234fc25e160a3862d9aa7d2a50c53, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/ebc63a12978ed84e65e3d4b500cd7eb6840e3ffd5364e30fba9431131ed0e083/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/ebc63a12978ed84e65e3d4b500cd7eb6840e3ffd5364e30fba9431131ed0e083, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/ebc63a12978ed84e65e3d4b500cd7eb6840e3ffd5364e30fba9431131ed0e083/init.pid, ebc63a12978ed84e65e3d4b500cd7eb6840e3ffd5364e30fba9431131ed0e083",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"runc, init",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, ebc63a12978ed84e65e3d4b500cd7eb6840e3ffd5364e30fba9431131ed0e083, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:21,"runc, init",orders,orders-db-b76d8c54c-b828w
2023-08-24 15:17:20,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, e4aab18fd5febd445a7f21b5b2e8220cfe2f42ae21b186aca6919a6a71f956cc, -address, /var/run/desktop-containerd/containerd.sock",orders,orders-74f65597c5-hcj9n
2023-08-24 15:17:03,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 968c865daf18409d65d57ce920889c58693ffd84fc187af89e2f53bdace3ba83, -address, /var/run/desktop-containerd/containerd.sock",payment,payment-c7df5b49-zlcth
2023-08-24 15:17:03,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 75ec70b71d3dbe1bab3c80a34b96cc3b634d59ae95c694b3a037e85774f06656, -address, /var/run/desktop-containerd/containerd.sock",payment,payment-c7df5b49-zlcth
2023-08-24 15:17:02,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 014bd9e54eba4612c95234477147dd6499107828e105bed95615de40a72195bd, -address, /var/run/desktop-containerd/containerd.sock",payment,payment-c7df5b49-zlcth
2023-08-24 15:17:02,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, c17f7e8e2ff88ebcf554cbd78e746b2e4cad77b88268a801f19ed5f526ab0c89, -address, /var/run/desktop-containerd/containerd.sock",payment,payment-c7df5b49-zlcth
2023-08-24 15:17:02,"runc, init",payment,payment-c7df5b49-zlcth
2023-08-24 15:17:02,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, a3a42f086388d6c2359539093e56e34df265d5907342c3fe962a6a955d8a93b9, -address, /var/run/desktop-containerd/containerd.sock",payment,payment-c7df5b49-zlcth
2023-08-24 15:17:02,"runc, init",payment,payment-c7df5b49-zlcth
