,source,destination
0,front-end,carts
1,orders,carts
2,unknown,carts
3,front-end,catalogue
4,unknown,catalogue
5,unknown,front-end
6,front-end,orders
7,unknown,orders
8,unknown,payment
9,unknown,queue-master
10,unknown,shipping
11,front-end,user
12,orders,user
13,unknown,user
14,carts,docker-desktop
15,carts,docker-desktop
16,catalogue,docker-desktop
17,catalogue,docker-desktop
18,front,docker-desktop
19,orders,docker-desktop
20,orders,docker-desktop
21,orders,docker-desktop
22,orders,docker-desktop
23,orders,docker-desktop
24,orders,docker-desktop
25,orders,docker-desktop
26,orders,docker-desktop
27,orders,docker-desktop
28,orders,docker-desktop
29,orders,docker-desktop
30,orders,docker-desktop
31,payment,docker-desktop
32,queue,docker-desktop
33,rabbitmq,docker-desktop
34,session,docker-desktop
35,shipping,docker-desktop
36,shipping,docker-desktop
37,shipping,docker-desktop
38,shipping,docker-desktop
39,shipping,docker-desktop
40,shipping,docker-desktop
41,shipping,docker-desktop
42,shipping,docker-desktop
43,shipping,docker-desktop
44,shipping,docker-desktop
45,shipping,docker-desktop
46,shipping,docker-desktop
47,shipping,docker-desktop
48,shipping,docker-desktop
49,shipping,docker-desktop
50,shipping,docker-desktop
51,shipping,docker-desktop
52,shipping,docker-desktop
53,shipping,docker-desktop
54,shipping,docker-desktop
55,shipping,docker-desktop
56,shipping,docker-desktop
57,shipping,docker-desktop
58,shipping,docker-desktop
59,shipping,docker-desktop
60,shipping,docker-desktop
61,shipping,docker-desktop
62,shipping,docker-desktop
63,shipping,docker-desktop
64,shipping,docker-desktop
65,user,docker-desktop
66,user,docker-desktop
